"","lon","lat","MunicipalityID","COD_DANE","Department Name","Municipality Name","Rural Population","Urban Population","Total Population"
"717","-74.07616922","8.425536349","12140",13600,"BOLIVAR","RIO VIEJO","14805","6255","21060"
"718","-75.79499597","5.11184193","11807",17616,"CALDAS","RISARALDA","6528","4151","10679"
"719","-75.21615056","2.77412718","12628",41615,"HUILA","RIVERA","7717","8967","16684"
"720","-78.42352949","1.937676943","12000",52621,"NARINO","ROBERTO PAYAN","16029","863","16892"
"721","-76.23714039","4.428985478","12053",76622,"VALLE DEL CAUCA","ROLDANILLO","10543","24155","34698"
"722","-75.6100928","4.097384704","12061",73622,"TOLIMA","RONCESVALLES","4474","1795","6269"
"723","-73.21923649","5.351351536","11656",15621,"BOYACA","RONDON","2503","508","3011"
"724","-76.81409104","2.26573885","12534",19622,"CAUCA","ROSAS","11221","1445","12666"
"725","-75.38963415","4.219545701","11987",73624,"TOLIMA","ROVIRA","12257","9408","21665"
"726","-73.5968779","7.418422154","12277",68655,"SANTANDER","SABANA DE TORRES","8113","11659","19772"
"727","-74.77340592","10.79000608","12144",8634,"ATLANTICO","SABANAGRANDE","1172","24227","25399"
"728","-74.95717216","10.61636378","12294",8638,"ATLANTICO","SABANALARGA","19924","66707","86631"
"729","-74.28038542","10.07633182","12204",47660,"MAGDALENA","SABANAS DE SAN ANGEL","11476","3419","14895"
"730","-75.62737296","6.128914753","12223",5631,"ANTIOQUIA","SABANETA","9238","35242","44480"
"731","-73.78138691","5.687878347","12624",15632,"BOYACA","SABOYA","12193","764","12957"
"732","-72.24797817","6.027560146","12420",85315,"CASANARE","SACAMA","663","1043","1706"
"733","-73.5658752","5.544323659","12290",15638,"BOYACA","SACHICA","2204","1664","3868"
"734","-75.4328298","8.785256331","12502",23660,"CORDOBA","SAHAGUN","42650","44985","87635"
"735","-76.20957077","2.064222526","12467",41660,"HUILA","SALADOBLANCO","8083","2152","10235"
"736","-74.72956512","10.49914535","11718",47675,"MAGDALENA","SALAMINA","3394","5010","8404"
"737","-72.89475899","7.755031596","12260",54660,"NORTE DE SANTANDER","SALAZAR","5851","3600","9451"
